Project,Class,Pattern
molgenis_apps,modules.xgap.org.molgenis.xgap.decoratoroverriders.DataDecorator,Decorator
molgenis_apps,modules.decorators.data.decorators.DataDecorator,Decorator
molgenis_apps,modules.xgap.org.molgenis.xgap.decoratoroverriders.MeasurementDecorator,Decorator
molgenis_apps,modules.decorators.pheno.decorators.MeasurementDecorator,Decorator
molgenis_apps,apps.lifelinesresearchportal.decorators.MeasurementDecorator,Decorator
molgenis_apps,apps.gids.org.molgenis.gids.decoratoroverriders.MeasurementDecorator,Decorator
molgenis_apps,modules.xgap.org.molgenis.xgap.decoratoroverriders.MolgenisFileDecorator,Decorator
molgenis_apps,modules.decorators.core.decorators.MolgenisFileDecorator,Decorator
molgenis_apps,apps.omicsconnect.org.molgenis.omicsconnect.decorators.MolgenisFileDecorator,Decorator
molgenis_apps,modules.xgap.org.molgenis.xgap.decoratoroverriders.NameableDecorator,Decorator
molgenis_apps,modules.decorators.core.decorators.NameableDecorator,Decorator
molgenis_apps,apps.patho.org.molgenis.patho.decoratoroverriders.NameableDecorator,Decorator
activemq,activemq-web.src.main.java.org.apache.activemq.web.SingletonBrokerFacade,Singleton
activemq,activemq-web.src.main.java.org.apache.activemq.web.SingletonBrokerFacade,Facade
Android-RTMP,android-ffmpeg-prototype.src.com.camundo.FFMPEGPrototype,Prototype
api,weld-spi.src.main.java.org.jboss.weld.bootstrap.api.Singleton,Singleton
AxonFramework,core.src.main.java.org.axonframework.eventsourcing.SpringPrototypeAggregateFactory,Prototype
biomixer,biomixer,src.org.thechiselgroup.biomixer.client.core.resources.ui.UpdateResourceSetAvatarLabelFactory,FactoryMethod
biomixer,biomixer,src.org.thechiselgroup.biomixer.client.core.persistence.Memento,Memento
birt,UI.org.eclipse.birt.report.designer.ui.src.org.eclipse.birt.report.designer.internal.ui.views.memento.MementoBuilder,Memento
birt,UI.org.eclipse.birt.report.designer.ui.src.org.eclipse.birt.report.designer.internal.ui.views.memento.Memento,Memento
Catroid,catroid.src.org.catrobat.catroid.ui.adapter.PrototypeBrickAdapter,Adapter
Catroid,catroid.src.org.catrobat.catroid.ui.adapter.PrototypeBrickAdapter,Prototype
cdk,generator.src.main.java.org.richfaces.cdk.xmlconfig.model.RendererAdapter,Adapter
cdt,core.org.eclipse.cdt.ui.src.org.eclipse.cdt.internal.ui.dnd.CDTViewerDropAdapter,Adapter
cdt,core.org.eclipse.cdt.core.src.org.eclipse.cdt.internal.core.resources.LocationAdapter,Adapter
cdt,build.org.eclipse.cdt.autotools.ui.src.org.eclipse.cdt.internal.autotools.ui.LocationAdapter,Adapter
cdt,core.org.eclipse.cdt.ui.tests.src.org.eclipse.cdt.ui.testplugin.CElementDecorator,Decorator
cdt,core.org.eclipse.cdt.core.tests.suite.org.eclipse.cdt.core.testplugin.CElementDecorator,Decorator
cdt,core.org.eclipse.cdt.ui.src.org.eclipse.cdt.internal.ui.wizards.dialogfields.IListAdapter,Adapter
cdt,core.org.eclipse.cdt.ui.src.org.eclipse.cdt.internal.ui.editor.DocumentAdapter,Adapter
cdt,core.org.eclipse.cdt.ui.src.org.eclipse.cdt.internal.ui.util.ExternalEditorInputFactory,FactoryMethod
CIDE,CIDE_Samples.cide_samples.MobileMedia06.src.lancs.mobilemedia.core.ui.controller.ScreenSingleton,Singleton
CIDE,CIDE_Samples.cide_samples.MobileMedia08.src.lancs.mobilemedia.core.ui.controller.ScreenSingleton,Singleton
coala,modules.coala-communication.src.main.java.org.openehealth.coala.communication.PdqMessageBuilderImpl,Builder
computercraft-spout,src.org.luaj.vm2.Prototype,Prototype
drools,drools-core.src.main.java.org.drools.core.util.Memento,Memento
fafdtibb,src.fr.insarennes.fafdti.builder.treebuilder.LimitModeTreeBuilderFactory,Builder
fafdtibb,src.fr.insarennes.fafdti.builder.treebuilder.LimitModeTreeBuilderFactory,FactoryMethod
frostwire-desktop,components.common.src.main.java.org.limewire.util.Decorator,Decorator
harmony-classlib,modules.luni.src.main.java.java.lang.reflect.Proxy,Proxy
harmony-classlib,modules.luni.src.main.java.java.net.Proxy,Proxy
harmony-classlib,modules.rmi.src.main.java.org.apache.harmony.rmi.transport.proxy.Proxy,Proxy
harmony-classlib,modules.applet.src.main.java.org.apache.harmony.applet.Proxy,Proxy
helma,src.helma.framework.core.Prototype,Prototype
HunApkNotifier,HunApkNotifier.src.com.reindeermobile.hunapknotifier.view.adapters.HunApkListAdapter,Adapter
jackrabbit,jackrabbit-core.src.main.java.org.apache.jackrabbit.core.security.authorization.AccessControlObserver,Observer
